time,ax,ay,az,gx,gy,gz
146518,-460,-4004,-348,281,305,-1277
146520,-481,-3990,-362,251,296,-1268
146522,-403,-3965,-367,221,322,-1239
146524,-414,-3958,-384,216,395,-1190
146526,-384,-3888,-304,174,456,-1149
146528,-333,-4083,-406,166,523,-1097
146530,-240,-4152,-375,191,579,-986
146532,-207,-4066,-314,141,643,-937
146534,-300,-4029,-409,100,682,-884
146536,-327,-3968,-466,82,729,-852
146538,-300,-3861,-407,53,748,-830
146540,-286,-3902,-453,12,747,-823
146542,-269,-3859,-400,-46,761,-804
146544,-296,-3848,-397,-73,779,-802
146546,-303,-3872,-382,-107,793,-781
146548,-326,-3823,-369,-147,812,-769
146550,-248,-3891,-299,-154,861,-767
146552,-262,-3924,-286,-136,916,-754
146554,-285,-3864,-291,-146,955,-761
146556,-278,-3925,-259,-158,1013,-759
146558,-243,-3940,-246,-150,1078,-751
146560,-329,-3942,-242,-151,1115,-745
146562,-307,-3933,-217,-167,1148,-724
146564,-364,-3971,-281,-184,1174,-708
146566,-348,-4059,-283,-183,1185,-681
146568,-403,-4018,-257,-207,1224,-659
146570,-358,-4029,-274,-239,1283,-662
146572,-331,-4016,-293,-247,1369,-635
146574,-288,-4011,-324,-267,1414,-633
146576,-266,-3997,-322,-293,1466,-632
146578,-259,-4023,-346,-318,1503,-640
146580,-253,-4007,-339,-362,1540,-667
146582,-235,-4047,-385,-393,1561,-692
146584,-263,-4040,-389,-395,1551,-704
146586,-260,-4090,-338,-411,1527,-727
146588,-276,-4131,-388,-405,1503,-727
146590,-305,-4120,-347,-404,1477,-727
146592,-332,-4120,-337,-397,1437,-727
146594,-381,-4145,-353,-379,1392,-739
146596,-366,-4136,-356,-352,1342,-746
146598,-366,-4140,-364,-333,1286,-767
146600,-298,-4191,-347,-318,1254,-789
146602,-315,-4170,-308,-289,1235,-797
146604,-320,-4201,-306,-281,1228,-813
146606,-305,-4226,-309,-275,1228,-815
146608,-283,-4252,-299,-267,1226,-830
146610,-251,-4263,-309,-256,1237,-853
146612,-217,-4293,-344,-230,1251,-886
146614,-173,-4283,-346,-195,1250,-941
146616,-214,-4220,-379,-174,1250,-965
146618,-225,-4204,-369,-168,1229,-1017
146620,-255,-4218,-349,-158,1209,-1047
146622,-246,-4217,-382,-132,1194,-1071
146624,-277,-4201,-395,-133,1173,-1100
146626,-260,-4194,-344,-117,1171,-1125
146628,-279,-4158,-366,-117,1162,-1128
146630,-300,-4146,-366,-118,1162,-1148
146632,-286,-4134,-351,-101,1167,-1159
146634,-234,-4235,-255,-35,1190,-1144
146636,-206,-4101,-356,11,1211,-1162
146638,-194,-4143,-406,0,1209,-1176
146640,-182,-4127,-440,32,1180,-1197
146642,-210,-4121,-462,43,1139,-1221
146644,-184,-4122,-467,54,1091,-1282
146646,-113,-4102,-469,57,1076,-1302
146648,-111,-4075,-455,60,1042,-1307
146650,-146,-4130,-453,48,1017,-1318
146652,-196,-4136,-482,55,1001,-1332
146654,-130,-4145,-422,66,963,-1320
146656,-120,-4088,-441,108,958,-1310
146658,-121,-4075,-411,124,920,-1283
146660,-138,-4130,-402,155,915,-1280
146662,-132,-4100,-441,221,925,-1255
146664,-96,-4118,-416,273,940,-1230
146666,-73,-4091,-397,314,941,-1219
146668,-71,-4165,-426,388,954,-1207
146670,-100,-4153,-369,441,954,-1206
146672,-20,-4177,-340,461,928,-1222
146674,-15,-4180,-394,517,938,-1236
146676,53,-4150,-407,617,992,-1273
146678,25,-4176,-383,698,1014,-1321
146680,-7,-4144,-282,725,986,-1347
146682,15,-4149,-413,755,970,-1363
146684,-58,-4097,-372,765,954,-1376
146686,-85,-4087,-431,765,948,-1360
146688,-94,-4068,-392,789,949,-1351
146690,-95,-4065,-340,759,901,-1329
146692,-77,-4044,-376,759,904,-1312
146694,-55,-4063,-358,749,880,-1286
146696,-81,-4013,-335,735,857,-1270
146698,-59,-3982,-384,715,846,-1222
146700,-26,-4003,-426,699,837,-1166
146702,-54,-4016,-353,677,819,-1120
146704,-26,-4037,-348,652,810,-1064
146706,-34,-4033,-334,617,816,-1009
146708,-66,-4041,-314,585,828,-959
146710,-26,-4025,-300,560,846,-902
146712,21,-4083,-368,532,870,-814
146714,-11,-4070,-301,505,896,-752
146716,27,-4083,-309,500,909,-704
146718,67,-4044,-354,478,926,-627
146720,56,-4043,-345,460,920,-568
146722,9,-4043,-336,451,893,-511
146724,25,-4035,-371,436,869,-474
146726,-16,-4029,-373,443,835,-422
146728,-21,-4025,-433,448,786,-376
146730,-19,-4015,-341,410,736,-326
146732,-9,-4041,-356,387,704,-296
146734,-22,-4035,-364,366,672,-234
146736,-46,-3983,-319,330,647,-201
146738,-59,-4008,-324,302,612,-152
146740,-7,-3975,-362,296,585,-117
146742,-3,-3945,-293,281,566,-94
146744,16,-3919,-357,280,532,-80
146746,36,-3937,-340,286,491,-72
146748,-2,-3911,-340,245,448,-74
146750,9,-3955,-305,254,409,-85
146752,9,-3999,-345,253,356,-63
146754,-15,-4016,-295,227,322,-62
146756,17,-4030,-326,225,292,-85
146758,43,-4033,-334,233,256,-111
146760,26,-4023,-329,220,221,-118
146762,17,-4043,-299,212,189,-136
146764,17,-4066,-376,211,162,-104
146766,18,-4101,-299,180,131,-96
146768,15,-4132,-266,146,119,-99
146770,15,-4160,-324,138,101,-69
146772,53,-4151,-309,123,90,-56
146774,32,-4177,-317,98,75,-38
146776,42,-4200,-276,77,53,-14
146778,56,-4211,-320,67,39,0
146780,62,-4220,-286,58,36,22
146782,53,-4203,-259,54,19,39
146784,57,-4245,-287,68,18,46
146786,26,-4241,-260,76,15,62
146788,47,-4227,-297,95,2,66
146790,20,-4236,-251,109,0,67
146792,20,-4216,-293,121,-9,61
146794,50,-4201,-254,147,-23,43
146796,58,-4136,-293,170,-23,24
146798,56,-4141,-321,174,-20,8
146800,79,-4107,-278,182,-21,-11
146802,65,-4095,-281,191,-15,-30
146804,56,-4084,-265,189,-15,-59
146806,21,-4090,-250,202,-29,-64
146808,7,-4071,-286,203,-35,-79
146810,15,-4081,-298,208,-53,-95
146812,29,-4088,-287,204,-59,-88
146814,30,-4088,-264,187,-75,-86
146816,35,-4082,-270,180,-79,-63
146818,16,-4090,-324,164,-84,-41
146820,15,-4045,-335,149,-89,-8
146822,-1,-4083,-293,137,-97,8
146824,5,-4054,-322,118,-107,24
146826,31,-4068,-299,112,-107,31
146828,26,-4060,-279,87,-116,24
146830,25,-4024,-305,62,-107,-17
146832,49,-4010,-266,28,-115,-78
146834,5,-4021,-225,-5,-121,-167
146836,51,-4014,-237,-37,-103,-259
146838,91,-3993,-210,-78,-68,-356
146840,100,-3977,-218,-96,-28,-450
146842,33,-3901,-262,-142,-3,-549
146844,52,-3926,-287,-177,11,-595
146846,77,-3981,-316,-197,39,-658
146848,33,-3973,-275,-219,40,-704
146850,38,-3964,-300,-258,31,-725
146852,29,-4001,-242,-292,34,-732
146854,17,-3998,-306,-305,17,-735
146856,56,-3996,-265,-324,11,-736
146858,77,-4037,-259,-331,13,-714
146860,95,-4038,-195,-338,21,-688
146862,73,-4052,-235,-328,28,-656
146864,113,-4083,-262,-306,38,-621
146866,84,-4090,-263,-293,40,-593
146868,93,-4114,-282,-276,38,-560
146870,144,-4088,-249,-258,32,-525
146872,111,-4109,-289,-236,25,-499
146874,116,-4091,-261,-218,20,-480
146876,87,-4069,-283,-196,4,-465
146878,77,-4104,-294,-174,-14,-462
146880,87,-4095,-267,-144,-25,-470
146882,101,-4075,-250,-119,-21,-497
146884,124,-4086,-245,-94,-12,-524
146886,132,-4105,-254,-68,14,-544
146888,123,-4113,-260,-56,24,-547
146890,112,-4131,-306,-39,38,-544
146892,122,-4127,-306,-9,51,-530
146894,135,-4171,-276,16,46,-508
146896,125,-4165,-265,36,36,-488
146898,118,-4196,-245,50,34,-453
146900,121,-4257,-237,61,25,-418
146902,159,-4276,-238,69,26,-367
146904,154,-4287,-237,63,29,-327
146906,183,-4303,-259,63,36,-284
146908,190,-4297,-256,74,34,-245
146910,142,-4266,-276,82,26,-206
146912,169,-4263,-246,91,20,-176
146914,139,-4226,-283,103,14,-149
146916,164,-4230,-249,116,3,-116
146918,146,-4214,-293,131,-6,-90
146920,131,-4193,-293,147,-18,-61
146922,142,-4205,-289,158,-18,-33
146924,145,-4180,-284,178,-32,-27
146926,135,-4152,-269,197,-24,-32
146928,145,-4118,-278,206,-29,-54
146930,160,-4091,-276,223,-29,-84
146932,104,-4078,-273,235,-30,-111
146934,123,-4077,-297,247,-36,-121
146936,87,-4057,-265,262,-43,-136
146938,143,-4047,-274,274,-42,-143
146940,116,-4032,-244,282,-41,-138
146942,114,-4057,-229,293,-39,-124
146944,103,-4023,-262,293,-46,-104
146946,117,-4019,-280,288,-59,-80
146948,113,-4074,-276,291,-68,-46
146950,77,-4045,-283,285,-86,-2
146952,127,-4075,-288,277,-114,40
146954,135,-4148,-319,293,-141,97
146956,185,-4155,-276,294,-164,145
146958,221,-4163,-278,309,-183,183
146960,223,-4167,-269,319,-180,228
146962,187,-4165,-279,336,-178,283
146964,173,-4149,-313,346,-183,330
146966,167,-4125,-233,336,-185,367
146968,164,-4137,-182,346,-188,388
146970,161,-4128,-160,364,-194,422
146972,146,-4172,-214,376,-200,442
146974,132,-4132,-168,401,-198,463
146976,147,-4125,-206,420,-199,459
146978,152,-4085,-223,428,-208,453
146980,167,-4048,-220,435,-226,446
146982,161,-4066,-247,418,-226,442
146984,119,-4074,-259,406,-227,436
146986,144,-4042,-204,398,-228,444
146988,128,-4046,-210,387,-218,449
146990,114,-4061,-222,379,-215,456
146992,83,-4068,-175,365,-212,475
146994,73,-4068,-189,365,-211,481
146996,45,-4061,-129,353,-221,490
146998,78,-4103,-186,352,-234,499
147000,100,-4069,-211,349,-233,508
147002,88,-4072,-172,339,-242,515
147004,91,-4066,-183,327,-252,522
147006,65,-4073,-167,312,-251,524
147008,58,-4069,-174,294,-265,527
147010,59,-4054,-176,265,-271,510
147012,56,-4026,-165,248,-280,497
147014,57,-4029,-184,224,-290,488
147016,29,-4023,-165,197,-301,468
147018,55,-4035,-160,181,-316,445
147020,74,-4026,-171,159,-322,432
147022,54,-4031,-158,144,-325,422
147024,86,-4040,-137,133,-317,414
147026,99,-4048,-137,125,-303,398
147028,137,-4032,-142,125,-274,378
147030,157,-4028,-133,126,-246,355
147032,142,-4060,-129,120,-220,333
147034,111,-4042,-132,106,-198,321
147036,106,-4071,-132,96,-186,316
147038,70,-4069,-115,79,-183,315
147040,62,-4093,-134,66,-176,316
147042,77,-4109,-96,43,-174,312
147044,101,-4112,-111,38,-163,314
147046,79,-4131,-154,21,-154,317
147048,90,-4111,-143,20,-145,329
147050,62,-4111,-159,14,-142,332
147052,61,-4113,-161,18,-137,343
147054,58,-4116,-185,18,-144,342
147056,34,-4135,-161,10,-133,345
147058,29,-4123,-138,12,-138,355
147060,30,-4159,-185,1,-140,359
147062,27,-4130,-181,12,-140,362
147064,13,-4132,-161,4,-140,348
147066,28,-4128,-167,-5,-137,334
147068,20,-4136,-135,-11,-135,312
147070,45,-4134,-141,-24,-130,288
147072,30,-4112,-131,-44,-112,252
147074,7,-4125,-124,-57,-100,211
147076,67,-4133,-161,-58,-92,180
147078,43,-4143,-125,-62,-91,152
147080,45,-4155,-119,-73,-96,117
147082,52,-4138,-156,-66,-103,86
147084,29,-4140,-156,-72,-111,69
147086,35,-4155,-160,-69,-117,47
147088,35,-4186,-125,-73,-124,28
147090,53,-4158,-155,-70,-120,13
147092,74,-4138,-132,-61,-107,-15
147094,83,-4147,-98,-48,-87,-40
147096,72,-4124,-127,-36,-63,-62
147098,58,-4155,-101,-17,-39,-79
147100,48,-4132,-92,-13,-14,-115
147102,71,-4116,-148,-1,17,-138
147104,26,-4114,-153,6,40,-170
147106,9,-4094,-152,3,71,-211
147108,20,-4067,-164,8,98,-242
147110,19,-4062,-179,0,121,-281
147112,28,-4075,-181,-5,141,-322
147114,45,-4054,-152,-9,152,-336
147116,57,-4053,-150,-15,157,-358
147118,62,-4064,-146,-20,166,-384
147120,77,-4028,-168,-15,171,-423
147122,35,-4016,-134,-20,171,-455
147124,60,-4016,-170,-21,173,-488
147126,42,-4002,-160,-18,171,-521
147128,37,-4026,-151,-24,170,-545
147130,37,-3989,-162,-19,164,-568
147132,15,-4003,-135,-23,157,-597
147134,22,-4002,-159,-24,160,-616
147136,-1,-3980,-160,-29,156,-640
147138,21,-3976,-155,-35,168,-653
147140,38,-4003,-138,-41,169,-663
147142,18,-3982,-125,-45,174,-679
147144,16,-3958,-153,-34,180,-702
147146,5,-3983,-156,-27,178,-716
147148,17,-3959,-171,-8,186,-736
147150,35,-3950,-138,26,198,-763
147152,1,-3944,-151,47,215,-790
147154,38,-3936,-146,67,222,-812
147156,31,-3937,-165,80,238,-834
147158,37,-3981,-114,97,237,-845
147160,45,-3988,-135,114,248,-853
147162,75,-3995,-151,128,251,-866
147164,92,-3989,-169,148,238,-875
147166,108,-4006,-143,168,228,-893
147168,85,-4005,-137,189,209,-900
147170,122,-4045,-129,211,201,-914
147172,136,-4057,-128,247,186,-934
147174,157,-4059,-126,281,179,-942
147176,190,-4064,-111,340,175,-961
147178,169,-4076,-97,388,192,-964
147180,127,-4068,-155,390,190,-965
147182,81,-4054,-193,374,171,-958
147184,95,-4103,-210,348,138,-943
147186,96,-4079,-220,326,103,-943
147188,146,-4128,-187,314,83,-947
147190,172,-4112,-186,310,68,-930
147192,195,-4127,-150,309,66,-927
147194,217,-4127,-132,317,71,-919
147196,206,-4155,-160,322,65,-912
147198,198,-4136,-178,324,64,-897
147200,183,-4161,-199,334,52,-890
147202,175,-4180,-200,338,29,-878
147204,192,-4168,-186,336,4,-867
147206,183,-4182,-175,326,-8,-857
147208,197,-4171,-165,309,-31,-850
147210,204,-4184,-109,303,-47,-842
147212,238,-4161,-150,313,-54,-838
147214,243,-4125,-120,336,-56,-846
147216,255,-4118,-89,380,-46,-859
147218,258,-4097,-77,418,-37,-853
147220,204,-4117,-198,372,-28,-853
147222,222,-4112,-185,371,-47,-848
147224,220,-4153,-152,370,-56,-825
147226,213,-4179,-168,365,-64,-807
147228,239,-4195,-160,341,-67,-777
147230,264,-4167,-137,322,-74,-737
147232,269,-4190,-113,318,-71,-694
147234,241,-4190,-85,296,-54,-662
147236,230,-4201,-127,271,-39,-624
147238,250,-4217,-74,243,-34,-596
147240,294,-4229,-108,247,-25,-561
147242,300,-4223,-96,257,-12,-544
147244,269,-4255,-187,207,-14,-531
147246,295,-4269,-107,203,-37,-521
147248,307,-4232,-79,229,-34,-505
147250,307,-4231,-119,199,-30,-488
147252,296,-4252,-145,146,-45,-465
147254,325,-4238,-79,138,-47,-438
147256,304,-4242,-84,126,-22,-422
147258,355,-4210,-44,119,-17,-410
147260,398,-4174,-60,124,-9,-410
147262,341,-4210,-49,122,-16,-420
147264,320,-4179,-54,135,-20,-429
147266,330,-4146,-87,130,-26,-427
147268,280,-4137,-77,118,-38,-436
147270,276,-4151,-95,119,-36,-427
147272,233,-4098,-68,117,-34,-408
147274,249,-4097,-71,120,-24,-400
147276,259,-4058,-66,114,-10,-393
147278,261,-4084,-28,104,-12,-393
147280,252,-4081,-43,110,2,-395
147282,269,-4043,-41,111,15,-412
147284,251,-4029,-49,107,31,-429
147286,244,-4027,-80,107,49,-439
147288,289,-4026,-53,102,66,-447
147290,277,-4028,-69,103,81,-460
147292,277,-4023,-53,93,91,-464
147294,302,-4011,-58,92,99,-460
147296,277,-4021,-60,77,108,-448
147298,292,-4017,-59,58,109,-436
147300,257,-4024,-52,36,95,-428
147302,268,-4013,-58,38,87,-433
147304,261,-4025,-75,28,68,-431
147306,288,-4030,-48,22,52,-423
147308,311,-4069,-63,16,38,-431
147310,278,-4029,-45,12,33,-429
147312,309,-4047,-41,19,38,-434
147314,297,-4070,-53,12,42,-430
147316,320,-4066,-26,8,48,-431
147318,359,-4059,-46,2,59,-438
147320,338,-4059,-32,2,62,-446
147322,358,-4070,-88,-9,73,-463
147324,320,-4050,-46,-6,81,-478
147326,286,-4104,-78,-16,97,-468
147328,321,-4128,-79,-29,101,-470
147330,333,-4106,-72,-42,98,-475
147332,345,-4129,-74,-50,97,-478
147334,379,-4094,-79,-55,102,-484
147336,399,-4090,-78,-58,99,-499
147338,378,-4115,-83,-59,96,-516
147340,399,-4111,-77,-52,97,-517
147342,386,-4092,-89,-38,97,-533
147344,369,-4115,-59,-29,93,-542
147346,348,-4129,-42,-25,75,-559
147348,332,-4112,-67,-9,61,-571
147350,343,-4126,-36,-1,51,-588
147352,372,-4120,-48,13,47,-593
147354,367,-4157,-65,13,52,-584
147356,365,-4140,-47,17,55,-591
147358,375,-4163,-55,17,74,-571
147360,402,-4147,10,32,107,-565
147362,431,-4168,-28,49,136,-562
147364,422,-4173,-23,47,150,-556
147366,443,-4186,-26,51,175,-544
147368,418,-4195,-45,50,194,-528
147370,427,-4172,-53,52,208,-520
147372,394,-4181,-70,46,226,-509
147374,442,-4156,-72,49,234,-496
147376,427,-4137,-43,45,240,-493
147378,399,-4125,-62,54,240,-493
147380,386,-4133,-130,43,233,-485
147382,397,-4111,-82,28,213,-468
147384,380,-4131,-67,10,202,-463
147386,382,-4096,-45,7,186,-470
147388,401,-4079,-14,-18,171,-463
147390,415,-4049,-24,-33,161,-475
147392,461,-4048,-36,-37,166,-485
147394,418,-4053,-6,-44,179,-499
147396,431,-4031,-19,-47,195,-512
147398,439,-4013,-29,-51,202,-524
147400,419,-4013,-23,-47,195,-538
147402,396,-4032,-39,-44,199,-538
147404,395,-3999,-45,-40,185,-545
147406,398,-4026,-30,-48,170,-538
147408,362,-4036,-29,-64,172,-530
147410,366,-4074,-35,-71,169,-514
147412,384,-4060,-10,-85,172,-492
147414,397,-4098,-12,-98,178,-486
147416,442,-4073,-55,-111,180,-483
147418,463,-4041,3,-124,181,-498
147420,482,-4048,-53,-112,188,-527
147422,514,-4035,-8,-93,196,-564
147424,478,-4027,-13,-80,212,-589
147426,419,-4075,-30,-98,227,-592
147428,434,-4072,-74,-96,224,-586
147430,417,-4059,-69,-102,206,-591
147432,424,-4093,-79,-93,190,-585
147434,427,-4085,-28,-75,172,-577
147436,450,-4084,-23,-57,171,-580
147438,479,-4094,-3,-42,174,-570
147440,474,-4092,-27,-27,179,-557
147442,455,-4128,-74,-33,183,-518
147444,442,-4178,-124,-50,181,-487
147446,446,-4184,-115,-44,150,-469
147448,479,-4146,-88,-47,122,-446
147450,476,-4179,-101,-62,93,-428
147452,477,-4211,-109,-69,69,-406
147454,524,-4197,-50,-79,60,-390
147456,520,-4236,-66,-79,49,-359
147458,484,-4269,-70,-82,48,-333
147460,508,-4276,-70,-89,40,-298
147462,526,-4264,-81,-80,27,-268
147464,485,-4239,-61,-61,15,-250
147466,501,-4232,-62,-46,3,-230
147468,499,-4201,-86,-30,-5,-221
147470,472,-4178,-129,-10,-26,-210
147472,490,-4199,-107,11,-50,-194
147474,459,-4200,-121,21,-62,-178
147476,477,-4158,-106,36,-74,-164
147478,482,-4174,-77,48,-79,-147
147480,500,-4180,-90,60,-74,-130
147482,452,-4153,-99,69,-69,-117
147484,490,-4129,-65,76,-69,-106
147486,478,-4169,-84,83,-69,-99
147488,430,-4159,-68,92,-86,-92
147490,488,-4173,-112,94,-109,-86
147492,505,-4172,-85,79,-101,-80
147494,471,-4173,-66,51,-95,-81
147496,476,-4104,-63,64,-112,-94
147498,510,-4061,-99,84,-112,-88
147500,497,-4044,-114,94,-110,-81
147502,466,-4086,-80,112,-105,-62
147504,479,-4066,-94,120,-105,-43
147506,479,-4087,-65,126,-99,-27
147508,495,-4079,-79,125,-98,-12
147510,525,-4033,-65,115,-83,-2
147512,495,-4054,-47,112,-75,0
147514,474,-4021,-68,103,-70,3
147516,479,-4034,-58,108,-62,9
147518,483,-4027,-39,105,-50,12
147520,516,-4019,-18,106,-15,7
147522,524,-4028,33,126,25,-6
147524,519,-4033,85,144,80,-9
147526,536,-4018,34,151,127,-14
147528,489,-4006,0,152,176,-20
147530,519,-4001,53,148,229,-23
147532,524,-3958,-13,147,286,-35
147534,526,-3968,-10,134,316,-33
147536,496,-3980,-13,129,349,-36
147538,469,-3972,-30,120,376,-30
147540,459,-3974,-67,107,380,-31
147542,448,-3958,-85,98,384,-30
147544,459,-3962,-48,90,385,-26
147546,476,-3974,-27,81,379,-26
147548,470,-3982,-33,74,380,-20
147550,484,-3989,-42,56,389,-23
147552,496,-3995,-51,45,387,-18
147554,471,-4026,-57,27,376,-23
147556,487,-4021,-79,18,362,-23
147558,474,-4045,-45,5,345,-25
147560,495,-4034,-63,3,314,-37
147562,485,-4050,-41,8,288,-61
147564,489,-4067,-43,15,270,-77
147566,469,-4102,-40,19,266,-85
147568,486,-4109,-39,22,268,-80
147570,490,-4105,-24,26,265,-73
147572,482,-4102,-96,13,253,-83
147574,483,-4116,-48,1,216,-76
147576,479,-4123,-55,-26,178,-81
147578,464,-4122,-89,-38,143,-87
147580,458,-4127,-76,-58,120,-81
147582,464,-4137,-49,-67,96,-83
147584,467,-4098,-51,-87,87,-94
147586,492,-4103,-55,-100,69,-98
147588,494,-4096,-47,-121,57,-99
147590,503,-4102,-38,-127,45,-110
147592,506,-4146,-59,-145,14,-107
147594,514,-4136,-88,-150,-2,-112
147596,496,-4147,-56,-154,-19,-106
147598,506,-4143,-48,-171,-42,-101
147600,502,-4177,-74,-181,-55,-90
147602,484,-4135,-69,-182,-65,-87
147604,484,-4138,-74,-192,-74,-74
147606,480,-4135,-38,-201,-79,-62
147608,498,-4175,-29,-208,-95,-49
147610,478,-4153,-46,-228,-110,-39
147612,488,-4193,-58,-239,-125,-30
147614,470,-4179,-56,-250,-147,-4
147616,496,-4190,-52,-261,-150,0
147618,476,-4197,-24,-284,-155,17
147620,507,-4179,-44,-298,-177,26
147622,518,-4204,-49,-315,-223,1
147624,521,-4192,-40,-326,-236,7
147626,506,-4155,-32,-334,-263,9
147628,496,-4139,-63,-348,-288,14
147630,521,-4119,-80,-352,-318,5
147632,468,-4132,-75,-366,-346,-7
147634,470,-4127,-50,-371,-371,-5
147636,454,-4108,-58,-382,-383,-2
147638,453,-4118,-54,-407,-401,5
147640,428,-4099,-100,-426,-409,4
147642,484,-4052,-75,-443,-417,9
147644,435,-4064,-66,-460,-423,5
147646,466,-4091,-120,-482,-434,5
147648,441,-4078,-112,-505,-446,2
147650,465,-4075,-133,-542,-459,-3
147652,477,-4062,-167,-572,-470,0
147654,485,-4040,-145,-586,-474,1
147656,507,-4035,-94,-614,-487,7
147658,462,-4054,-87,-641,-497,8
147660,440,-4048,-122,-659,-501,14
147662,451,-4045,-127,-675,-504,25
147664,425,-4011,-91,-698,-516,35
147666,433,-4025,-118,-712,-506,43
147668,433,-3999,-109,-731,-507,45
147670,428,-3990,-104,-752,-507,53
147672,416,-4004,-114,-780,-509,57
147674,418,-3982,-106,-810,-515,60
147676,425,-3955,-99,-841,-530,66
147678,410,-3982,-93,-880,-545,72
147680,408,-3957,-96,-924,-567,60
147682,381,-3939,-147,-971,-576,76
147684,413,-3973,-165,-1002,-572,81
147686,392,-3974,-133,-1049,-588,76
147688,380,-4008,-176,-1099,-601,80
147690,368,-3999,-161,-1157,-614,90
147692,390,-4008,-196,-1209,-624,86
147694,351,-3977,-205,-1260,-643,88
147696,359,-3941,-200,-1301,-652,73
147698,320,-3921,-236,-1341,-668,57
147700,329,-3919,-193,-1391,-694,27
147702,348,-3921,-244,-1423,-696,15
147704,352,-3897,-255,-1445,-686,-10
147706,353,-3907,-244,-1476,-685,-44
147708,363,-3875,-222,-1502,-683,-59
147710,359,-3940,-263,-1518,-689,-72
147712,418,-3934,-277,-1538,-682,-92
147714,441,-3952,-254,-1560,-686,-94
147716,445,-3961,-279,-1580,-674,-101
147718,488,-3961,-258,-1609,-645,-85
147720,495,-3831,-353,-1765,-602,-28
147722,482,-3680,-468,-1924,-551,66
147724,441,-3869,-354,-1949,-526,99
147726,483,-3521,-435,-2119,-453,199
147728,499,-3736,-445,-2126,-383,230
147730,523,-3869,-198,-2044,-356,218
147732,479,-3986,-144,-2000,-368,199
147734,524,-4081,-164,-1948,-371,168
147736,508,-4068,-229,-1935,-377,160
147738,499,-4111,-241,-1890,-394,140
147740,526,-4335,-168,-1782,-450,81
147742,560,-4287,-298,-1704,-446,40
147744,550,-4226,-323,-1709,-433,43
147746,564,-4144,-350,-1734,-403,67
147748,567,-4126,-389,-1757,-370,84
147750,554,-4156,-296,-1766,-359,92
147752,524,-4127,-340,-1788,-330,110
147754,482,-4033,-438,-1863,-288,151
147756,506,-4138,-407,-1873,-268,155
147758,493,-4187,-364,-1870,-251,174
147760,511,-4167,-430,-1886,-233,188
147762,523,-4160,-448,-1906,-222,218
147764,525,-4205,-510,-1901,-232,237
147766,531,-4236,-498,-1900,-237,248
147768,531,-4244,-516,-1899,-249,258
147770,547,-4234,-550,-1905,-242,273
147772,561,-4264,-515,-1906,-228,276
147774,540,-4246,-500,-1902,-218,265
147776,548,-4311,-522,-1891,-217,249
147778,518,-4319,-545,-1873,-224,249
147780,407,-4160,-658,-1919,-222,285
147782,212,-3959,-651,-2058,-330,259
147784,334,-4353,-459,-2053,-387,113
147786,449,-4264,-418,-2022,-396,98
147788,443,-4085,-544,-2026,-410,73
147790,432,-3985,-593,-2054,-392,89
147792,380,-3964,-586,-2046,-395,61
147794,412,-3984,-579,-2037,-399,69
147796,455,-4034,-619,-2010,-387,91
147798,457,-4014,-614,-1981,-381,100
147800,422,-4083,-659,-1965,-384,128
147802,478,-4146,-693,-1935,-376,166
147804,466,-4146,-717,-1914,-377,175
147806,481,-4167,-731,-1893,-373,180
147808,474,-4143,-755,-1876,-359,201
147810,522,-4175,-738,-1857,-316,231
147812,587,-4166,-761,-1835,-246,245
147814,600,-4201,-744,-1803,-162,255
147816,660,-4272,-833,-1664,-7,286
147818,645,-4324,-822,-1518,95,324
147820,429,-4078,-652,-1617,-17,317
147822,389,-3991,-663,-1754,-125,303
147824,334,-3986,-771,-1829,-165,294
147826,328,-4025,-849,-1860,-145,307
147828,313,-3986,-829,-1875,-115,327
147830,316,-3955,-807,-1894,-99,329
147832,339,-3925,-836,-1929,-63,319
147834,363,-3859,-857,-1956,-37,319
147836,358,-3833,-849,-2007,0,315
147838,352,-3789,-927,-2074,48,328
147840,369,-3765,-880,-2137,91,348
147842,372,-3773,-888,-2199,117,363
147844,342,-3784,-898,-2238,158,392
147846,400,-3849,-869,-2263,183,403
147848,422,-3898,-860,-2251,230,412
147850,413,-3894,-844,-2264,267,434
147852,386,-3916,-840,-2303,266,460
147854,384,-3916,-864,-2340,255,481
147856,399,-3913,-925,-2384,281,512
147858,392,-3920,-926,-2427,290,541
147860,396,-3910,-913,-2478,285,575
147862,402,-3969,-908,-2508,302,595
147864,494,-3955,-921,-2517,335,606
147866,503,-4015,-924,-2510,382,615
147868,500,-4029,-894,-2516,410,610
147870,543,-3996,-931,-2522,435,596
147872,495,-3987,-930,-2524,474,590
147874,498,-3964,-930,-2530,523,587
147876,455,-3995,-945,-2546,544,584
147878,461,-3978,-933,-2574,581,588
147880,436,-4041,-943,-2608,620,591
147882,435,-4012,-983,-2624,645,596
147884,415,-3981,-993,-2658,669,603
147886,401,-3928,-1030,-2711,690,608
147888,380,-3932,-1038,-2766,708,615
147890,364,-3914,-1026,-2806,722,614
147892,379,-3888,-1084,-2858,746,615
147894,376,-3854,-1081,-2883,760,602
147896,359,-3829,-1088,-2912,756,593
147898,380,-3814,-1122,-2941,765,580
147900,348,-3841,-1145,-2985,782,579
147902,369,-3827,-1132,-3031,807,565
147904,373,-3871,-1127,-3089,831,576
147906,398,-3913,-1108,-3168,876,594
147908,361,-3922,-1178,-3242,948,617
